ip,whois_network_age_days,port_count_bucket,has_non_web_ports,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_num_labels,dns_max_label_length,dns_label_entropy,dns_brand_plus_auth_combo,dns_has_brand_token,dns_suspicious_token_count,dns_has_digit_hyphen_pattern,dns_has_punycode,label
87.240.132.72,8.541300266759471,2_3,0,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,31,2.1344632247506965,0,0,3,1,0,0
170.114.52.2,7.055312843339752,2_3,0,0,0,1,1,edge_or_cdn,1,ov_ev,6.9975959829819265,1.0986122886681096,1,0,0.0,1,3,26,1.7416961043054449,0,0,2,0,0,0
17.253.144.10,9.418492105471156,2_3,0,0,0,1,1,unknown,1,ov_ev,6.75343791859778,1.0986122886681096,1,1,0.0,1,4,24,1.5225483835717672,0,1,3,0,0,0
13.107.138.10,8.07215530818825,2_3,0,0,0,0,1,unknown,1,ov_ev,6.823286122355687,0.6931471805599453,1,0,0.0,1,5,29,2.016660728924037,0,0,4,1,0,0
151.101.2.132,7.969703583278656,2_3,0,0,0,0,1,other,1,dv,6.930494765951626,0.6931471805599453,1,0,0.0,1,5,24,1.9464070339723045,0,0,5,1,0,0
192.0.78.17,8.308938252595778,2_3,0,0,1,1,1,common_self_managed,1,dv,6.71901315438526,0.6931471805599453,1,1,0.0,1,4,24,2.1474775537663127,0,0,4,1,0,0
111.63.65.247,0.0,2_3,0,0,1,1,0,other,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,4,26,2.2301624163311704,0,1,5,1,0,0
35.186.247.156,7.878155336503324,1,0,0,1,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,24,1.9439424439396997,0,0,4,1,0,0
162.159.133.234,8.262558973010657,4_plus,1,0,0,1,1,edge_or_cdn,1,dv,6.705639094860003,1.0986122886681096,1,1,0.0,1,3,16,2.0175387796537048,0,0,0,0,0,0
162.125.248.18,7.994632311431825,2_3,0,0,0,1,1,other,1,ov_ev,6.727431724850855,0.6931471805599453,1,1,0.0,1,2,7,2.053301568532237,0,1,1,0,0,0
95.101.123.96,8.53070154144103,2_3,0,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,18,2.5958427112373013,0,0,2,1,0,0
172.66.0.227,8.081165777725433,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,18,1.7528852635156236,0,0,3,1,1,0
23.185.0.4,7.862497197230545,2_3,0,0,0,1,0,other,1,dv,6.7580945044277305,0.6931471805599453,1,1,0.0,1,4,25,1.9341271022457087,0,0,3,1,0,0
83.224.69.224,8.760296220470051,2_3,0,0,0,1,0,edge_or_cdn,1,ov_ev,6.694562058521095,0.6931471805599453,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0
52.96.172.98,7.993282328101591,4_plus,1,0,1,0,1,common_self_managed,1,ov_ev,6.950814768442584,0.6931471805599453,1,0,0.0,1,5,20,2.0047389881088673,0,0,4,1,0,0
104.16.248.249,8.17948018535889,4_plus,1,0,0,1,0,edge_or_cdn,1,ov_ev,6.990256500493881,0.6931471805599453,1,0,0.0,1,4,21,2.1068422921601875,0,0,0,0,0,0
204.79.197.212,9.26955223160803,2_3,0,0,0,0,1,unknown,1,ov_ev,6.893656354602635,0.6931471805599453,1,0,0.0,1,5,26,2.2795905114128043,0,0,3,1,0,0
216.58.206.33,8.379768515504566,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,3,15,2.1112744669550585,0,0,2,1,0,0
140.82.121.3,7.639161171659173,2_3,1,0,1,0,1,unknown,1,dv,6.716594773520978,1.0986122886681096,1,1,0.0,1,3,19,2.0375381319930304,1,1,4,1,0,0
151.101.3.1,7.969703583278656,2_3,0,0,0,0,1,other,1,ov_ev,6.853299093186078,0.6931471805599453,1,0,0.0,1,5,25,1.6146266615693827,1,1,5,1,0,0
31.177.80.4,7.944492163932159,1,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,11,1.6254893360319032,0,0,1,0,0,0
213.180.204.242,8.548691858475609,2_3,0,0,0,1,0,unknown,1,ov_ev,6.734591659972948,1.0986122886681096,1,0,0.0,1,5,28,2.2140297879888373,1,1,5,1,0,0
192.0.80.241,8.308938252595778,2_3,0,0,1,1,1,common_self_managed,1,dv,6.7580945044277305,0.6931471805599453,1,1,0.0,1,3,8,1.6329460228911719,0,0,0,0,0,0
